,Name,Latitud,Longitud,Tipos
"0,Qfresh.co,40.447639,-3.7005339,""['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"""
"1,Supercor Exprés,40.44425679999999,-3.7002728,""['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"""
"2,Alimentación WANG,40.4377165,-3.7130998,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"4,Kosher Sefarad Shop and Catering Madrid,40.4359376,-3.7004122,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"5,Mi Alcampo,40.4353194,-3.7041376,""['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"""
"6,ALIMENTACIÓN SANTA CECILIA,40.436399,-3.711428,""['convenience_store', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"7,Cielo Al Reves,40.43583599999999,-3.709995999999999,""['convenience_store', 'grocery_or_supermarket', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"8,ALIMENTACIÓN SANTA CECILIA,40.436399,-3.711428,""['convenience_store', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"9,La Escabechina,40.4365832,-3.7131762,""['convenience_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"10,Croqueta y Presumida,40.43649140000001,-3.7131792,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"11,Alimentación WANG,40.4377165,-3.7130998,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"12,Bodegon El Pequeño Gourmet,40.436524,-3.714054999999999,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"15,nutnut,40.4346359,-3.7041334,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"16,Cardaser Gourmet,40.43461750000001,-3.7045407,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"17,Empanadas De Gloria,40.4341552,-3.7085361,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"18,Frutas Santamaría,40.4339113,-3.7065153,""['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"""
"19,Eggo -Huevos Ecológicos-,40.43411940000001,-3.7081906,""['convenience_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"20,Picón Madrid,40.4341012,-3.7082834,""['convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"21,""Picón, Productos Canarios"",40.4340524,-3.7083671,""['convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"22,Caracol De Cadalso,40.4341552,-3.7085361,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"38,Pescados y Mariscos Antonio Pérez,40.4312117,-3.7178946,""['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"""
"5,Farmacia Fanconi López,40.44863749999999,-3.704581100000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"6,Paz García Monescillo Pharmacy,40.447218,-3.7067709,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"10,Pharmacist,40.446979,-3.7090836,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"11,Farmacia Gómez Rivera,40.44684,-3.711335,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"12,Farmacia Baztán Moreno,40.447537,-3.7116888,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"14,Farmacia,40.4466954,-3.711956299999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"15,Farmacia Baztán Moreno,40.447537,-3.7116888,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"24,""FARMACIA OPTICA ORTOPEDIA GA - CHAMBERÍ, MADRID"",40.44484739999999,-3.7032331,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"26,Farmacia Berrocal Valencia Cristina,40.4433765,-3.700690599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"27,Farmacia Victoria Martin Jaureguibeitia,40.44190359999999,-3.7025201,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"28,Farmacia Carmen Ramírez Cánovas,40.4430799,-3.7042844,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"29,José María García Escribano Fernández Mazaramb,40.4422937,-3.703792099999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"30,Farmacia Dra. Beatriz Collado,40.443491,-3.713968800000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"31,Farmacia Concepción Ruiz Martínez,40.4428534,-3.7126532,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"34,Farmacia M Paloma Reche Sainz,40.4416194,-3.7155473,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"35,Farmacia Victoria Martin Jaureguibeitia,40.44190359999999,-3.7025201,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"36,José María García Escribano Fernández Mazaramb,40.4422937,-3.703792099999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"37,Farmacia Barreneche Huici,40.44065499999999,-3.7062752,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"38,María Y Noelia González Andrés C B,40.4405141,-3.7062959,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"40,María Cuevas Galgo,40.4414275,-3.7122365,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"41,Farmacia Lérida García,40.4411816,-3.7143052,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"42,Farmacia Barrios de Tiedra,40.4416194,-3.7155473,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"45,Farmacia Angeles Rivas,40.4400123,-3.7168288,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"46,Farmacia Nubé,40.4409479,-3.717926099999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"48,FARMACIA CANAL,40.43773669999999,-3.702507599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"49,Santisima Trinidad pharmacy,40.437425,-3.7009976,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"50,Farmacia Higia,40.4377454,-3.704041399999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"52,Farmacia Medina Puerta María del Mar,40.43890710000001,-3.706141599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"53,Farmacia Bellver Valls,40.4387055,-3.708955699999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"54,Angona Fraile María Jesús,40.43989910000001,-3.7075116,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"55,Farmacia Bellver Valls,40.4387055,-3.708955699999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"56,Julia Sánchez Escribano,40.4392974,-3.7116274,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"58,Farmacia Sánchez Pérez,40.4392627,-3.7145138,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"59,Farmacia Jorge García,40.43853229999999,-3.716546899999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"61,Farmacia,40.4381705,-3.717606,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"62,Farmacia Isaac Peral,40.4380262,-3.7176596,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"63,Farmacia Jorge García,40.43853229999999,-3.716546899999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"64,FARMACIA MARIO ESQUIVIAS,40.43601750000001,-3.702219,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"65,FARMACIA CANAL,40.43773669999999,-3.702507599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"66,Santisima Trinidad pharmacy,40.437425,-3.7009976,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"67,Farmacia Berlinesa,40.4373942,-3.700013799999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"68,Farmacia BM25,40.4359171,-3.704547599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"69,Farmacia Higia,40.4377454,-3.704041399999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"71,Alonso Fernández Cano Elena,40.4352564,-3.7063689,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"72,Farmacia Galileo 61 | Envío mismo Día Madrid y alrededores.,40.4361949,-3.7102444,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"73,Soxtar Pharma S.L.,40.43607329999999,-3.710009299999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"74,FarmaVitality19 Lda. M. Ángeles Rodríguez González,40.43746609999999,-3.7110067,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"75,FarmaMadrid 19 Lda. Mª Angeles Rodríguez Gonzalez,40.43746609999999,-3.7110067,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"81,Cañadas Correas María Dolores,40.43746609999999,-3.7110067,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"82,Farmacia Donoso,40.4366181,-3.715943600000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"83,Farmacia,40.4378541,-3.714509900000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"84,Farmacia Isaac Peral,40.4380262,-3.7176596,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"85,Trebol Pharmacy,40.4348353,-3.700016299999999,""['pharmacy', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']"""
"86,FARMACIA TRAFALGAR,40.4340309,-3.701813800000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"88,Farmacia Lda. M°. E. Munilla Saavedra,40.4347616,-3.7031975,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"89,Farmacia BM25,40.4359171,-3.704547599999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"90,Farmacia La Cruz De Malta,40.4349151,-3.707036900000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"91,""Farmacia2Online, Pharmacy Madrid"",40.4350971,-3.7064245,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"93,Bonet Sánchez Gemma Y Emilio C B,40.4349477,-3.7070638,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"94,Farmacia,40.4340414,-3.7073485,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"95,Farmacia Fernando el Católico 10,40.4339512,-3.7074343,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"96,Alonso Fernández Cano Elena,40.4352564,-3.7063689,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"97,Farmacia,40.43517569999999,-3.7083646,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"98,Farmacia María José Crespo Garrido,40.4338291,-3.7081767,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"99,Farmacia Cámara Rica,40.4342875,-3.7111859,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"100,Farmacia Centro Galileo (Lda. Mar Reina),40.4342875,-3.7111859,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"101,Farmacia,40.43517569999999,-3.7083646,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"102,Farmacia María José Crespo Garrido,40.4338291,-3.7081767,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"103,Pharmacy Guzman El Bueno,40.4343881,-3.7130097,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"104,Farmacia La Gran Manzana,40.4351785,-3.711682499999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"105,Lavándula,40.4357916,-3.7129677,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"106,Farmacia Cámara Rica,40.4342875,-3.7111859,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"107,M Teresa Alvarez Atienza E Hijas C B,40.4343881,-3.7130097,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"108,Farmacia Centro Galileo (Lda. Mar Reina),40.4342875,-3.7111859,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"109,Farmacia Mª Pilar Tejera Fernández-Mazarambroz,40.4344892,-3.7153871,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"110,Farmacia Maria Angustias,40.4349911,-3.7168565,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"111,Pedro Antonio Carrasco Millán,40.4331491,-3.7149378,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"112,Farmacia Sanchez Romero,40.434701,-3.718183,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"113,Farmacia Maria Angustias,40.4349911,-3.7168565,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"114,Vázquez Cano María Mar,40.4318955,-3.7004368,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"115,Farmacia DIEGUEZ,40.4323475,-3.702442699999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"116,Farmacia Moreno Blasco,40.43133350000001,-3.7008186,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"117,Farmacia Pilar Bruna,40.4314058,-3.703792699999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"118,Farmacia Ana M. de Diego Lopez,40.4326429,-3.7049147,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"119,Miguel Angel Sáez García,40.432357,-3.7050607,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"120,""Portus Serrano, Juan"",40.4312652,-3.70501,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"121,Farmacia DIEGUEZ,40.4323475,-3.702442699999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"124,Cosín Borobio Ana María,40.4326646,-3.7082528,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"125,Farmacia del Arco - María Junco,40.431459,-3.7078294,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"126,Maria Junco,40.431459,-3.7078294,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"127,Farmacia Arapiles,40.43272949999999,-3.7084888,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"128,Farmacia,40.43271800000001,-3.7105515,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"129,Cosín Borobio Ana María,40.4326646,-3.7082528,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"130,Farmacia,40.43157059999999,-3.7110738,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"132,Farmacia Carril Batalla,40.431653,-3.713799,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"135,""Farmacia Moncloa Farmacia 14 horas, Parafarmacia"",40.4322643,-3.7169357,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"137,Farmacia Manteca Tahoces,40.433196,-3.7170674,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"138,Ana María Palma García,40.43287410000001,-3.7157697,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"139,Farmacia,40.43203829999999,-3.7146603,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"140,Pedro Antonio Carrasco Millán,40.4331491,-3.7149378,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"143,Farmacia Carril Batalla,40.431653,-3.713799,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"144,Farmacia María Dolores Grande Pérez,40.4321121,-3.717054,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"145,""Farmacia Moncloa Farmacia 14 horas, Parafarmacia"",40.4322643,-3.7169357,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"146,Farmacia Manteca Tahoces,40.433196,-3.7170674,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"147,Farmacia militar,40.4329982,-3.718284700000001,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"149,Lda C Acacio Farmacia,40.4313311,-3.7180292,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"150,Farmacia Altamirano (Javier García Palomo),40.43131350000001,-3.718091,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
"151,Farmacia Palmaz Arenas,40.4313306,-3.719737799999999,""['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"""
