act1,act2,act3,act_output,opt,min_loss
linear,linear,linear,sigmoid,SGD,343794464.0
linear,linear,linear,sigmoid,Adadelta,343830272.0
linear,linear,sigmoid,relu,RMSprop,343567904.0
linear,linear,sigmoid,relu,adam,343830272.0
linear,linear,sigmoid,relu,SGD,343830272.0
linear,linear,sigmoid,relu,Adadelta,343830272.0
linear,linear,sigmoid,tanh,RMSprop,343794496.0
linear,linear,sigmoid,tanh,adam,343795296.0
linear,linear,sigmoid,tanh,SGD,343794464.0
linear,linear,sigmoid,tanh,Adadelta,343864288.0
linear,linear,sigmoid,softmax,RMSprop,343794464.0
linear,linear,sigmoid,softmax,adam,343794464.0
linear,linear,sigmoid,softmax,SGD,343794496.0
linear,linear,sigmoid,softmax,Adadelta,343794464.0
linear,linear,sigmoid,linear,RMSprop,343551936.0
linear,linear,sigmoid,linear,adam,343557664.0
linear,linear,sigmoid,linear,SGD,23004392.0
linear,linear,sigmoid,linear,Adadelta,343866176.0
linear,linear,sigmoid,sigmoid,RMSprop,343794752.0
linear,linear,sigmoid,sigmoid,adam,343796288.0
linear,linear,sigmoid,sigmoid,SGD,343794464.0
linear,linear,sigmoid,sigmoid,Adadelta,343824704.0
linear,sigmoid,relu,relu,RMSprop,342871776.0
linear,sigmoid,relu,relu,adam,342618752.0
linear,sigmoid,relu,relu,SGD,343830272.0
linear,sigmoid,relu,relu,Adadelta,343830272.0
linear,sigmoid,relu,tanh,RMSprop,343794464.0
linear,sigmoid,relu,tanh,adam,343794624.0
linear,sigmoid,relu,tanh,SGD,343794464.0
linear,sigmoid,relu,tanh,Adadelta,343824704.0
linear,sigmoid,relu,softmax,RMSprop,343794464.0
linear,sigmoid,relu,softmax,adam,343794496.0
linear,sigmoid,relu,softmax,SGD,343794464.0
linear,sigmoid,relu,softmax,Adadelta,343794464.0
linear,sigmoid,relu,linear,RMSprop,343188416.0
linear,sigmoid,relu,linear,adam,342128608.0
linear,sigmoid,relu,linear,SGD,25534180.0
linear,sigmoid,relu,linear,Adadelta,343808576.0
linear,sigmoid,relu,sigmoid,RMSprop,343794496.0
linear,sigmoid,relu,sigmoid,adam,343794592.0
linear,sigmoid,relu,sigmoid,SGD,343794496.0
linear,sigmoid,relu,sigmoid,Adadelta,343813920.0
linear,sigmoid,linear,relu,RMSprop,340432640.0
linear,sigmoid,linear,relu,adam,339810016.0
linear,sigmoid,linear,relu,SGD,58740256768.0
linear,sigmoid,linear,relu,Adadelta,343830272.0
linear,sigmoid,linear,tanh,RMSprop,343794464.0
linear,sigmoid,linear,tanh,adam,343794464.0
linear,sigmoid,linear,tanh,SGD,343794464.0
linear,sigmoid,linear,tanh,Adadelta,343847744.0
linear,sigmoid,linear,softmax,RMSprop,343794464.0
linear,sigmoid,linear,softmax,adam,343794464.0
linear,sigmoid,linear,softmax,SGD,343794496.0
linear,sigmoid,linear,softmax,Adadelta,343794496.0
linear,sigmoid,linear,linear,RMSprop,340619328.0
linear,sigmoid,linear,linear,adam,338744224.0
linear,sigmoid,linear,linear,SGD,368382181376.0
linear,sigmoid,linear,linear,Adadelta,343863968.0
linear,sigmoid,linear,sigmoid,RMSprop,343794464.0
linear,sigmoid,linear,sigmoid,adam,343794592.0
linear,sigmoid,linear,sigmoid,SGD,343818656.0
linear,sigmoid,linear,sigmoid,Adadelta,343816992.0
linear,sigmoid,sigmoid,relu,RMSprop,343830272.0
linear,sigmoid,sigmoid,relu,adam,343307200.0
linear,sigmoid,sigmoid,relu,SGD,343830304.0
linear,sigmoid,sigmoid,relu,Adadelta,343824288.0
linear,sigmoid,sigmoid,tanh,RMSprop,343794496.0
linear,sigmoid,sigmoid,tanh,adam,343794752.0
linear,sigmoid,sigmoid,tanh,SGD,343794496.0
linear,sigmoid,sigmoid,tanh,Adadelta,343839072.0
linear,sigmoid,sigmoid,softmax,RMSprop,343794464.0
linear,sigmoid,sigmoid,softmax,adam,343794464.0
linear,sigmoid,sigmoid,softmax,SGD,343794464.0
linear,sigmoid,sigmoid,softmax,Adadelta,343794496.0
linear,sigmoid,sigmoid,linear,RMSprop,343371968.0
linear,sigmoid,sigmoid,linear,adam,343379776.0
linear,sigmoid,sigmoid,linear,SGD,22977570.0
linear,sigmoid,sigmoid,linear,Adadelta,343839040.0
linear,sigmoid,sigmoid,sigmoid,RMSprop,343794528.0
linear,sigmoid,sigmoid,sigmoid,adam,343794784.0
linear,sigmoid,sigmoid,sigmoid,SGD,343794496.0
linear,sigmoid,sigmoid,sigmoid,Adadelta,343801312.0
sigmoid,relu,relu,relu,RMSprop,343830304.0
sigmoid,relu,relu,relu,adam,343830272.0
sigmoid,relu,relu,relu,SGD,343830272.0
sigmoid,relu,relu,relu,Adadelta,343823776.0
sigmoid,relu,relu,tanh,RMSprop,343794464.0
sigmoid,relu,relu,tanh,adam,343794624.0
sigmoid,relu,relu,tanh,SGD,343794496.0
sigmoid,relu,relu,tanh,Adadelta,343839136.0
sigmoid,relu,relu,softmax,RMSprop,343794464.0
sigmoid,relu,relu,softmax,adam,343794464.0
sigmoid,relu,relu,softmax,SGD,343794464.0
sigmoid,relu,relu,softmax,Adadelta,343794496.0
sigmoid,relu,relu,linear,RMSprop,338184064.0
sigmoid,relu,relu,linear,adam,333868256.0
sigmoid,relu,relu,linear,SGD,2.882496219001651e+16
sigmoid,relu,relu,linear,Adadelta,343813344.0
sigmoid,relu,relu,sigmoid,RMSprop,343794464.0
sigmoid,relu,relu,sigmoid,adam,343794528.0
sigmoid,relu,relu,sigmoid,SGD,343794432.0
sigmoid,relu,relu,sigmoid,Adadelta,343812576.0
sigmoid,relu,linear,relu,RMSprop,334826912.0
sigmoid,relu,linear,relu,adam,322999680.0
sigmoid,relu,linear,relu,SGD,343830272.0
sigmoid,relu,linear,relu,Adadelta,343830272.0
sigmoid,relu,linear,tanh,RMSprop,343794464.0
sigmoid,relu,linear,tanh,adam,343794496.0
sigmoid,relu,linear,tanh,SGD,343794464.0
sigmoid,relu,linear,tanh,Adadelta,343853120.0
sigmoid,relu,linear,softmax,RMSprop,343794496.0
sigmoid,relu,linear,softmax,adam,343794464.0
sigmoid,relu,linear,softmax,SGD,343794464.0
sigmoid,relu,linear,softmax,Adadelta,343794464.0
sigmoid,relu,linear,linear,RMSprop,325757696.0
sigmoid,relu,linear,linear,adam,305668736.0
sigmoid,relu,linear,linear,SGD,4090439342751744.0
sigmoid,relu,linear,linear,Adadelta,343836064.0
sigmoid,relu,linear,sigmoid,RMSprop,343794464.0
sigmoid,relu,linear,sigmoid,adam,343794528.0
sigmoid,relu,linear,sigmoid,SGD,343794496.0
sigmoid,relu,linear,sigmoid,Adadelta,343812448.0
sigmoid,relu,sigmoid,relu,RMSprop,343830272.0
sigmoid,relu,sigmoid,relu,adam,343830304.0
sigmoid,relu,sigmoid,relu,SGD,343830272.0
sigmoid,relu,sigmoid,relu,Adadelta,343828768.0
sigmoid,relu,sigmoid,tanh,RMSprop,343794496.0
sigmoid,relu,sigmoid,tanh,adam,343794688.0
sigmoid,relu,sigmoid,tanh,SGD,343794464.0
sigmoid,relu,sigmoid,tanh,Adadelta,343856832.0
sigmoid,relu,sigmoid,softmax,RMSprop,343794464.0
sigmoid,relu,sigmoid,softmax,adam,343794496.0
sigmoid,relu,sigmoid,softmax,SGD,343794464.0
sigmoid,relu,sigmoid,softmax,Adadelta,343794464.0
sigmoid,relu,sigmoid,linear,RMSprop,343285792.0
sigmoid,relu,sigmoid,linear,adam,343341632.0
sigmoid,relu,sigmoid,linear,SGD,22996246.0
sigmoid,relu,sigmoid,linear,Adadelta,343801728.0
sigmoid,relu,sigmoid,sigmoid,RMSprop,343794528.0
sigmoid,relu,sigmoid,sigmoid,adam,343794752.0
sigmoid,relu,sigmoid,sigmoid,SGD,343794464.0
sigmoid,relu,sigmoid,sigmoid,Adadelta,343808864.0
sigmoid,linear,relu,relu,RMSprop,331350528.0
sigmoid,linear,relu,relu,adam,343830272.0
sigmoid,linear,relu,relu,SGD,343830272.0
sigmoid,linear,relu,relu,Adadelta,343743584.0
sigmoid,linear,relu,tanh,RMSprop,343794496.0
sigmoid,linear,relu,tanh,adam,343794528.0
sigmoid,linear,relu,tanh,SGD,343794464.0
sigmoid,linear,relu,tanh,Adadelta,343834784.0
sigmoid,linear,relu,softmax,RMSprop,343794464.0
sigmoid,linear,relu,softmax,adam,343794464.0
sigmoid,linear,relu,softmax,SGD,343794464.0
sigmoid,linear,relu,softmax,Adadelta,343794464.0
sigmoid,linear,relu,linear,RMSprop,334685248.0
sigmoid,linear,relu,linear,adam,309837696.0
sigmoid,linear,relu,linear,SGD,4.363727145428582e+16
sigmoid,linear,relu,linear,Adadelta,343877376.0
sigmoid,linear,relu,sigmoid,RMSprop,343794496.0
sigmoid,linear,relu,sigmoid,adam,343794528.0
sigmoid,linear,relu,sigmoid,SGD,343794464.0
sigmoid,linear,relu,sigmoid,Adadelta,343811328.0
sigmoid,linear,linear,relu,RMSprop,343830272.0
sigmoid,linear,linear,relu,adam,280981184.0
sigmoid,linear,linear,relu,SGD,343830304.0
sigmoid,linear,linear,relu,Adadelta,343830272.0
sigmoid,linear,linear,tanh,RMSprop,343794464.0
sigmoid,linear,linear,tanh,adam,343794464.0
sigmoid,linear,linear,tanh,SGD,343794464.0
sigmoid,linear,linear,tanh,Adadelta,343844032.0
sigmoid,linear,linear,softmax,RMSprop,343794464.0
sigmoid,linear,linear,softmax,adam,343794496.0
sigmoid,linear,linear,softmax,SGD,343794496.0
sigmoid,linear,linear,softmax,Adadelta,343794464.0
sigmoid,linear,linear,linear,RMSprop,314455552.0
sigmoid,linear,linear,linear,adam,286473696.0
sigmoid,linear,linear,linear,SGD,4619108477829120.0
sigmoid,linear,linear,linear,Adadelta,343821504.0
sigmoid,linear,linear,sigmoid,RMSprop,343794464.0
sigmoid,linear,linear,sigmoid,adam,343794496.0
sigmoid,linear,linear,sigmoid,SGD,343794464.0
sigmoid,linear,linear,sigmoid,Adadelta,343811936.0
sigmoid,linear,sigmoid,relu,RMSprop,343830272.0
sigmoid,linear,sigmoid,relu,adam,343830272.0
sigmoid,linear,sigmoid,relu,SGD,343830272.0
sigmoid,linear,sigmoid,relu,Adadelta,343830272.0
sigmoid,linear,sigmoid,tanh,RMSprop,343794496.0
sigmoid,linear,sigmoid,tanh,adam,343794656.0
sigmoid,linear,sigmoid,tanh,SGD,343794464.0
sigmoid,linear,sigmoid,tanh,Adadelta,343831904.0
sigmoid,linear,sigmoid,softmax,RMSprop,343794464.0
sigmoid,linear,sigmoid,softmax,adam,343794496.0
sigmoid,linear,sigmoid,softmax,SGD,343794496.0
sigmoid,linear,sigmoid,softmax,Adadelta,343794496.0
sigmoid,linear,sigmoid,linear,RMSprop,343406048.0
sigmoid,linear,sigmoid,linear,adam,343297408.0
sigmoid,linear,sigmoid,linear,SGD,23042718.0
sigmoid,linear,sigmoid,linear,Adadelta,343831872.0
sigmoid,linear,sigmoid,sigmoid,RMSprop,343794528.0
sigmoid,linear,sigmoid,sigmoid,adam,343794624.0
sigmoid,linear,sigmoid,sigmoid,SGD,343794496.0
sigmoid,linear,sigmoid,sigmoid,Adadelta,343818304.0
sigmoid,sigmoid,relu,relu,RMSprop,343830272.0
sigmoid,sigmoid,relu,relu,adam,343830304.0
sigmoid,sigmoid,relu,relu,SGD,343830272.0
sigmoid,sigmoid,relu,relu,Adadelta,343812800.0
sigmoid,sigmoid,relu,tanh,RMSprop,343794464.0
sigmoid,sigmoid,relu,tanh,adam,343794624.0
sigmoid,sigmoid,relu,tanh,SGD,343794464.0
sigmoid,sigmoid,relu,tanh,Adadelta,343814560.0
sigmoid,sigmoid,relu,softmax,RMSprop,343794496.0
sigmoid,sigmoid,relu,softmax,adam,343794464.0
sigmoid,sigmoid,relu,softmax,SGD,343794496.0
sigmoid,sigmoid,relu,softmax,Adadelta,343794464.0
sigmoid,sigmoid,relu,linear,RMSprop,341679424.0
sigmoid,sigmoid,relu,linear,adam,340525504.0
sigmoid,sigmoid,relu,linear,SGD,43851751424.0
sigmoid,sigmoid,relu,linear,Adadelta,343836352.0
sigmoid,sigmoid,relu,sigmoid,RMSprop,343794464.0
sigmoid,sigmoid,relu,sigmoid,adam,343794592.0
sigmoid,sigmoid,relu,sigmoid,SGD,343794464.0
sigmoid,sigmoid,relu,sigmoid,Adadelta,343812160.0
sigmoid,sigmoid,linear,relu,RMSprop,343830272.0
sigmoid,sigmoid,linear,relu,adam,343830272.0
sigmoid,sigmoid,linear,relu,SGD,343830272.0
sigmoid,sigmoid,linear,relu,Adadelta,343824064.0
sigmoid,sigmoid,linear,tanh,RMSprop,343794464.0
sigmoid,sigmoid,linear,tanh,adam,343794528.0
sigmoid,sigmoid,linear,tanh,SGD,343842304.0
sigmoid,sigmoid,linear,tanh,Adadelta,343826784.0
sigmoid,sigmoid,linear,softmax,RMSprop,343794464.0
sigmoid,sigmoid,linear,softmax,adam,343794496.0
sigmoid,sigmoid,linear,softmax,SGD,343794464.0
sigmoid,sigmoid,linear,softmax,Adadelta,343794464.0
sigmoid,sigmoid,linear,linear,RMSprop,337925376.0
sigmoid,sigmoid,linear,linear,adam,335075360.0
sigmoid,sigmoid,linear,linear,SGD,72412815360.0
sigmoid,sigmoid,linear,linear,Adadelta,343852992.0
sigmoid,sigmoid,linear,sigmoid,RMSprop,343794464.0
sigmoid,sigmoid,linear,sigmoid,adam,343794528.0
sigmoid,sigmoid,linear,sigmoid,SGD,343817280.0
sigmoid,sigmoid,linear,sigmoid,Adadelta,343815392.0
sigmoid,sigmoid,sigmoid,relu,RMSprop,343830272.0
sigmoid,sigmoid,sigmoid,relu,adam,343830272.0
sigmoid,sigmoid,sigmoid,relu,SGD,343830272.0
sigmoid,sigmoid,sigmoid,relu,Adadelta,343791104.0
sigmoid,sigmoid,sigmoid,tanh,RMSprop,343794464.0
sigmoid,sigmoid,sigmoid,tanh,adam,343794688.0
sigmoid,sigmoid,sigmoid,tanh,SGD,343794464.0
sigmoid,sigmoid,sigmoid,tanh,Adadelta,343837600.0
sigmoid,sigmoid,sigmoid,softmax,RMSprop,343794464.0
sigmoid,sigmoid,sigmoid,softmax,adam,343794464.0
sigmoid,sigmoid,sigmoid,softmax,SGD,343794464.0
sigmoid,sigmoid,sigmoid,softmax,Adadelta,343794464.0
sigmoid,sigmoid,sigmoid,linear,RMSprop,343333280.0
sigmoid,sigmoid,sigmoid,linear,adam,343278432.0
sigmoid,sigmoid,sigmoid,linear,SGD,22982548.0
sigmoid,sigmoid,sigmoid,linear,Adadelta,343794368.0
sigmoid,sigmoid,sigmoid,sigmoid,RMSprop,343794528.0
sigmoid,sigmoid,sigmoid,sigmoid,adam,343794752.0
sigmoid,sigmoid,sigmoid,sigmoid,SGD,343794464.0
sigmoid,sigmoid,sigmoid,sigmoid,Adadelta,343820000.0
